"Package","DependsPageRank","SuggestsPageRank","ImportsPageRank","Date"
"aod",0.000152996973309608,5.80029052305115e-05,0.000315696006531482,"2009-11-19"
"ape",0.00140667725819394,8.04596248316826e-05,0.000831041777190023,"2009-11-19"
"aplpack",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"approximator",0.000233689805636831,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"apsrtable",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"apTreeshape",0.000152996973309611,5.80029052305113e-05,0.000315696006531482,"2009-11-19"
"AquaEnv",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"archetypes",0.000152996973309611,7.81319542948344e-05,0.000315696006531482,"2009-11-19"
"ArDec",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"arm",0.000243776409677727,8.6312772353336e-05,0.000315696006531482,"2009-11-19"
"aroma.affymetrix",0.000152996973309603,0.3928783782209,0.000315696006531485,"2009-11-19"
"aroma.apd",0.000187579615735557,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"aroma.core",0.000187579615735550,0.131000361263105,0.000315696006531483,"2009-11-19"
"aroma.light",0.000217259282240970,0.0263776928646404,0.000315696006531482,"2009-11-19"
"arrayImpute",0.000152996973309603,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"arrayMissPattern",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ars",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"arules",0.000354729054127662,9.77661646194467e-05,0.00134638754784856,"2009-11-19"
"arulesNBMiner",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"arulesSequences",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ascii",0.000152996973309609,8.90533922212952e-05,0.000315696006531482,"2009-11-19"
"aspace",0.000152996973309604,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"aster",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"asuR",0.000152996973309605,0.000145082542914501,0.000315696006531482,"2009-11-19"
"asympTest",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"asypow",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"atm",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"atmi",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"audio",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"automap",0.000228275113208711,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"aws",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"aylmer",0.000201412672705940,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BACCO",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"backfitRichards",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"backtest",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BaM",0.000152996973309600,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BAMD",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BARD",0.000152996973309611,9.60505027834038e-05,0.000315696006531483,"2009-11-19"
"BAS",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bayesCGH",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bayescount",0.000152996973309604,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BayesDA",0.000152996973309609,0.000113666135034139,0.000315696006531482,"2009-11-19"
"bayesGARCH",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bayesm",0.000179894584085350,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bayesmix",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BayesQTLBIC",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bayesSurv",0.000173170181391411,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BayesTree",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BayesValidate",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BayesX",0.000152996973309609,7.1899838057072e-05,0.000315696006531485,"2009-11-19"
"BayHaz",0.000152996973309609,8.09521777899597e-05,0.000315696006531482,"2009-11-19"
"BAYSTAR",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BB",0.000152996973309609,0.000147474750353435,0.000315696006531482,"2009-11-19"
"bbmle",0.000152996973309607,0.000114317384963717,0.000315696006531482,"2009-11-19"
"BCE",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"Bchron",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bclust",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bcp",0.000152996973309608,6.50559044847144e-05,0.000315696006531482,"2009-11-19"
"bdsmatrix",0.000233689805636831,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bear",0.000152996973309603,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bestglm",0.000152996973309609,6.34895680086442e-05,0.000315696006531482,"2009-11-19"
"betaper",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"betareg",0.000152996973309609,8.34719774332379e-05,0.000315696006531484,"2009-11-19"
"bethel",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BHH2",0.000152996973309611,6.19403276904166e-05,0.000315696006531482,"2009-11-19"
"biclust",0.000152996973309607,8.90839863187736e-05,0.000315696006531482,"2009-11-19"
"bifactorial",0.000152996973309605,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"biglm",0.000152996973309609,0.000176750912984387,0.000315696006531482,"2009-11-19"
"bigmemory",0.000152996973309608,6.7218153396634e-05,0.000315696006531482,"2009-11-19"
"bim",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bindata",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"binMto",0.000188044625138655,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"binom",0.000395075470291279,0.000157733414351454,0.000315696006531482,"2009-11-19"
"binomSamSize",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bio.infer",0.000175004109398850,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BiodiversityR",0.000152996973309609,0.000511960666106319,0.000315696006531482,"2009-11-19"
"BioIDMapper",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"biOpsGUI",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bipartite",0.000152996973309609,0.000123529458476627,0.000315696006531482,"2009-11-19"
"BiplotGUI",0.000152996973309604,5.80029052305116e-05,0.000315696006531484,"2009-11-19"
"birch",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bise",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bit",0.000316594796967891,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"biwt",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BLCOP",0.000152996973309604,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"blighty",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"blockTools",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BMA",0.000152996973309609,0.000101330920627476,0.000315696006531482,"2009-11-19"
"bmd",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"Bmix",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
